見出し語（品詞）,訳
shuttle（他動詞）,…を左右に動かす
shuttle（自動詞）,左右に動く
disintegrate（自動詞）,分解する、崩壊する
disintegrate（他動詞）,…を分解する、…を崩壊させる
brewer（名詞）,ビール醸造者［会社］
diversify（他動詞）,…を多様化する、…を多角的にする
diversify（自動詞）,多様化する、多角化する
lineup（名詞）,顔触れ、ラインアップ、陣容、面通し
foothold（名詞）,足掛かり、足場
graveyard（名詞）,（共同）墓地、廃棄物置場
dwindle（自動詞）,だんだん少なく［小さく］なる、縮まる、衰える
exposition（名詞）,展示会、博覧会、解説、説明
encompass（他動詞）,…を含む、…を包み込む、…を網羅する
nostalgia（名詞）,郷愁、ノスタルジア、追憶
engulf（他動詞）,（恐怖などが）（人）を包み込む、（戦争などが）…を飲み込む、…を巻き込む
volley（名詞）,一斉射撃、（悪口・質問などの）連発、（テニスなどの）ボレー
volley（他動詞）,…を一斉に射撃する、（球）をボレーで打ち返す
volley（自動詞）,（銃弾などが）一斉に発射される、ボレーをする
ensue（自動詞）,続いて起こる、結果として起こる、続く
termination（名詞）,終了、結末、解雇
entail（他動詞）,…を伴う、（論理的必然として）…を含意する、…を必要とする
penal（形容詞）,刑の、刑法の、刑罰の、処罰されるべき（限定用法が多い）
equalize（他動詞）,…を均一にする、…を等しくする、…を対等にする
showcase（名詞）,陳列用ガラス箱、展示、好見本
showcase（他動詞）,…を陳列する
inaugural（形容詞）,就任（式）の、開会の（限定用法）
inaugural（名詞）,就任演説
imperative（形容詞）,必須の、避けられない、緊急の、命令的な
imperative（名詞）,緊急になすべきこと、義務、命令
eradicate（他動詞）,…を全滅させる、…を根絶する、（汚れ・染みなど）を取る
plausible（形容詞）,もっともらしい、妥当な、納得のいく
erode（他動詞）,…を浸食する、…を腐食する、…をむしばむ
erode（自動詞）,侵食される、腐食する、むしばまれる
sandstone（名詞）,砂岩
exemplify（他動詞）,…のよい例となる、…を例証する、…を実証する
haughty（形容詞）,横柄な、高慢な（限定用法が多い）
bureaucrat（名詞）,官僚（主義者）、役人
resin（名詞）,（合成）樹脂、松やに
flare（自動詞）,（炎などが）ぱっと燃え上がる、ゆらゆらと燃える、（怒りなどが）燃え上がる、（病気などが）悪化する
flare（名詞）,照明装置、（突然の）ゆらめく炎、（flaresで）らっぱズボン
vile（形容詞）,非常に嫌な、実に不快な、下劣な
fume（名詞）,におい、ガス、煙
neon（名詞）,ネオン、ネオン灯（neon light [lamp]）
billboard（名詞）,掲示板、広告板
flicker（自動詞）,（光などが）明滅する、ゆらゆら揺れる、（物が）ぴくぴく動く
flicker（名詞）,明滅する光、ゆらめく炎
plumbing（名詞）,配管設備、配管工事、配管業
gush（自動詞）,勢いよく流れ出る、わき出る
gush（名詞）,ほとばしり、噴出
flooring（名詞）,床板、床張り（材）、床
implicate（他動詞）,…を関与させる、（人）を（犯罪などに）巻き込む
disgraceful（形容詞）,恥ずかしい、不名誉な
inaugurate（他動詞）,（人）を就任させる、…の落成式を行う、（時代）の始まりとなる、（事業など）を開始する
consecutive（形容詞）,連続した、（論理の）一貫した、（文法で）結果を表す
invalidate（他動詞）,…を無効にする、…の法的効力をなくす
entitlement（名詞）,資格、権利、（通常entitlementsで）特典
rebate（名詞）,還付、払い戻し、割引
blunder（名詞）,大失敗、誤り、不覚
blunder（自動詞）,大失敗する、うろうろする
jeopardize（他動詞）,…を危うくする、…を危険にさらす
undercover（形容詞）,秘密の、秘密で行われた［行う］、スパイの（限定用法）
underway（形容詞）,進行中で、航行中で（叙述用法）
lag（自動詞）,遅れる、立ち遅れる
lag（名詞）,遅延、遅滞
protectionism（名詞）,保護貿易政策、保護主義
liberalize（他動詞）,…を自由主義化する、…を緩和する、…を寛大にする
liberalize（自動詞）,自由主義化する、緩和する、寛大になる
bead（名詞）,ビーズ、じゅず玉、（汗などの）玉
perspiration（名詞）,汗、発汗（作用）
moisten（他動詞）,…を湿らせる、…をぬらす
moisten（自動詞）,湿る、ぬれる
smock（名詞）,上っ張り、スモック
necessitate（他動詞）,…を必要とする
dietary（形容詞）,食事の、食物の、食事療法の（限定用法が多い）
obliterate（他動詞）,…を消し去る、…を取り除く
predominantly（副詞）,大部分は、主に
indigenous（形容詞）,固有の、原産の、現地の、生まれながらの
theology（名詞）,神学（体系）、宗教学
ordain（他動詞）,（人）を任命する、…を定める、…を規定する
vicar（名詞）,司教［教皇］代理、代理人
beneficiary（名詞）,受益者、利益を受ける人
outweigh（他動詞）,…に勝る、…より重い
overrun（他動詞）,…を覆う、…に群がる、…を越える、…を圧倒する
outcry（名詞）,（通常the [an] outcryで）激しい抗議、絶叫、悲鳴
jargon（名詞）,専門用語、（特定の集団の）用語
pertain（自動詞）,関係する、関係がある、適用される
biochemistry（名詞）,生化学
wry（形容詞）,（顔が）しかめっ面の、皮肉たっぷりの（限定用法）
rebound（自動詞）,はね返る、反響する、立ち直る
rebound（名詞）,はね返り、反響、立ち直り
rehabilitate（他動詞）,（人）を社会復帰させる、（人）にリハビリを施す、…を回復する
narcotic（名詞）,麻薬、麻酔薬、睡眠薬
narcotic（形容詞）,麻薬の、麻酔の、催眠性の
venerable（形容詞）,尊敬すべき、立派な、由緒ある、昔からある
relegate（他動詞）,…を格下げする、…を追いやる、…を降格する
commoner（名詞）,平民、庶民、一般人
unaccountable（形容詞）,説明できない、不可解な、奇妙な、責任がない
selector（名詞）,選択者、（スポーツ委員会の）選手選考委員、分離機
relent（自動詞）,折れる、態度を軟化する、弱まる、やさしい気持ちになる
provisional（形容詞）,一時的な、仮の、条件付きの
muddle（名詞）,混乱（状態）、ごたごた、乱雑、当惑
revert（自動詞）,戻る、再び始まる、（病気が）再発する
feudalism（名詞）,封建主義［制度］
advent（名詞）,（the adventで）出現、到来、開始
revolutionize（他動詞）,…に革命をもたらす、…に大革命を起こす
saturate（他動詞）,…をずぶぬれにする、…を満たす、（人）を没頭させる
urine（名詞）,尿、小便
snowflake（名詞）,雪片、オオマツユキソウ（植物名）
shimmer（自動詞）,かすかに光る、（光などに）ゆらめく
cod（名詞）,タラ、タラの肉
spawn（自動詞）,産卵する、産む
spawn（他動詞）,…を産む、…を引き起こす
spawn（名詞）,卵、はらこ、子どもたち
sprout（自動詞）,発芽する、成長し始める、急に増える
sprout（他動詞）,…を発芽させる、…を成長させる、（ひげなど）をはやす
sprout（名詞）,芽、芽キャベツ、もやし
promenade（名詞）,散歩（道）、遊歩（道）
promenade（他動詞）,…を散歩する、（人）を連れて歩く
promenade（自動詞）,散歩する
lance（名詞）,やり、ランセット
lance（他動詞）,…を（やりなどで）突く、…を（ランセットで）切開する
spurt（自動詞）,噴き出す、噴出する、大奮闘する、スパートをかける
spurt（名詞）,噴出、ほとばしり、（競走などの）スパート
subdivide（他動詞）,…をさらに分割する、…を宅地に分ける
legality（名詞）,合法性、適法性、法律厳守、法的義務
questionable（形容詞）,疑わしい、不確かな、いかがわしい、不審な
glamorous（形容詞）,魅力的な、華やかな、魅惑的な
allure（名詞）,魅力、魅惑（するもの）
allure（他動詞）,…を魅惑する
transcend（他動詞）,…を超える、…を超越する、…をしのぐ
melodramatic（形容詞）,メロドラマの（ような）、芝居がかった
undercut（他動詞）,…を損なう、…に傷をつける、…より安く売る
authenticity（名詞）,真実味、本物であること、信頼性、信憑性
flawless（形容詞）,傷のない、非の打ちどころがない、完全な
acclaim（他動詞）,…を称賛する、…を歓迎する
acclaim（自動詞）,拍手喝采する
acclaim（名詞）,拍手喝采、称賛
incomparable（形容詞）,比類のない、ずば抜けた、比較できない
saga（名詞）,冒険談、英雄物語、大河小説（saga novel）
pacifist（名詞）,平和主義者、無抵抗主義者
pacifist（形容詞）,平和主義（者）の（限定用法）
allude（自動詞）,ほのめかす、それとなく言う
shortcoming（名詞）,（通常shortcomingsで）欠点、短所
bureaucratic（形容詞）,官僚的な、官僚政治の
methodology（名詞）,方法論、手順、方法学
lousy（形容詞）,ひどい、見下げ果てた、不潔な、悪質な、シラミだらけの
bastard（名詞）,（無礼な）やつ、私生児、非嫡出子、偽物
bellow（他動詞）,…と大声でどなる
bellow（自動詞）,（牛などが）大声で鳴く、どなる、うめく
concur（自動詞）,同意見である、意見が一致する、同時に起こる
concur（他動詞）,…ということに同意する
supposition（名詞）,仮定、想定、推測
causal（形容詞）,原因の、因果関係の
elicit（他動詞）,（情報・返答など）を引き出す、…を聞き出す
candid（形容詞）,率直な、遠慮のない、気取らない
fruitless（形容詞）,無益な、無駄な、実りのない
culprit（名詞）,（通常the culpritで）犯人、罪人、刑事被告人
haunted（形容詞）,幽霊のよく出る、とりつかれた、おびえた
motel（名詞）,モーテル（街道沿いの簡易ホテル）
fabricate（他動詞）,（言い訳など）を作り上げる、…をでっち上げる、…を組み立てる
alibi（名詞）,アリバイ、現場不在証明、（失敗などの）言い訳
treatise（名詞）,専門書、（学術）論文
overstate（他動詞）,…を大げさに述べる、…を誇張して話す
instability（名詞）,不安定（な状態）、変わりやすさ
purport（他動詞）,…だと称する、…と主張する
purport（名詞）,趣旨、意味
definitive（形容詞）,決定的な、最終的な、最も信頼のおける、限定的な（限定用法が多い）
duo（名詞）,二重唱（の二人）、二重奏（の奏者）、デュオ
ramble（自動詞）,とりとめもなく話す、散歩する、（川・道が）曲がりくねっている
plight（名詞）,（悪い）状態、苦境、窮地
disadvantaged（形容詞）,恵まれない、貧しい、不利な（限定用法が多い）
diminutive（形容詞）,小さい、小型の、かわいい
diminutive（名詞）,小さい人［物］、愛称
hue（名詞）,色、色調、種類
alight（自動詞）,（鳥などが）舞い降りる、（乗り物などから）降りる
cerebral（形容詞）,脳の、大脳の、知性的な
bash（他動詞）,…を強打する、…を打ち壊す、…を激しく非難する
bash（自動詞）,激突する
bash（名詞）,強打、へこみ、とても楽しいパーティー
skull（名詞）,頭蓋骨、頭脳
braid（名詞）,お下げ髪、三つ編み（以上通常braidsで）、組みひも
braid（他動詞）,…を編む、…を結ぶ
beckon（他動詞）,（人）に合図［手招き］する、…を差し招く
beckon（自動詞）,合図する、手招きする
buff（他動詞）,…を（布などで）磨く
buff（名詞）,ファン、…狂
boutique（名詞）,ブティック
glossy（形容詞）,光沢のある、つやつやした、もっともらしい
glossy（名詞）,高級雑誌（glossy magazine）
bustle（自動詞）,せわしく動き回る、せかせかと立ち去る
bustle（名詞）,活気
cutlery（名詞）,（ナイフ、フォーク、スプーンなど）食事用器具類、刃物類、刃物製造業
fanatic（名詞）,狂信者、過激論者、熱狂的な愛好家、マニア
chuck（他動詞）,…を投げる、…を捨てる、…をやめる
grenade（名詞）,手投げ弾、手りゅう弾（hand grenade）
havoc（名詞）,大混乱、大破壊、大損害
clamber（自動詞）,よじ登る
clamber（名詞）,よじ登ること
rung（名詞）,（はしごの）段、（いすの脚の）横木
dusky（形容詞）,薄暗い、黒ずんだ、陰気な
loft（名詞）,屋根裏（部屋）、（教会などの）ギャラリー
loft（他動詞）,（球）を高く打ち上げる
fragmentary（形容詞）,断片の、破片の、断片からなる
embed（他動詞）,…を埋め込む、…をはめ込む、…を植える
granite（名詞）,花こう岩、御影石
embroider（他動詞）,…に刺繍を施す、（物語など）を潤色する
duster（名詞）,ふきん、ほこりを払う人［もの］
faultless（形容詞）,申し分のない、欠点がない、無傷の
potter（名詞）,陶器職人、陶工
engrave（他動詞）,…を刻む、…を彫る、…を版画で刷る
dainty（形容詞）,優美な、上品な、おいしい、好みにうるさい
flick（他動詞）,…をはじき飛ばす、（テレビなど）をぱちんとつける、…を素早く動かす
flick（自動詞）,急に動く
flick（名詞）,はじくこと、軽く打つこと、ピシッという音
butt（名詞）,（タバコの）吸い殻、残り、切れ端、（道具の）太い方の端
suspender（名詞）,ズボンつり、ガーター（以上はsuspendersで）、つるす人［物］
flop（自動詞）,倒れ込む、（音を立てて）倒れる、（計画などが）失敗する
flop（他動詞）,…をどさんと落とす
flop（名詞）,失敗
fumble（自動詞）,手探りする、探し回る、しくじる
ruby（名詞）,ルビー、深紅色（ruby red）
clothesline（名詞）,物干し用ロープ
gag（他動詞）,…にさるぐつわをはめる、（人）の言論を抑圧する
gag（自動詞）,吐き気を催す
adhesive（形容詞）,粘着性の、付着する（限定用法が多い）
adhesive（名詞）,粘着性物質、接着剤、粘着テープ（adhesive tape）
gape（自動詞）,口をぽかんと開けて見る、（傷口・服などが）大きく裂ける
gape（名詞）,（口をぽかんと開けて）見とれること、裂け目
larva（名詞）,幼虫、幼生
cobweb（名詞）,クモの巣、（cobwebsで）（頭の中の）もやもや、混乱
grimace（自動詞）,顔をゆがめる、しかめっ面をする
grimace（名詞）,しかめっ面
flank（名詞）,横腹、わき腹、側面
flank（他動詞）,…を側面に配置する
wrestler（名詞）,レスラー、レスリング選手
heave（他動詞）,…を持ち上げる、…を放り投げる、…を動かす
heave（自動詞）,（波などが）うねる、上下する
aloft（副詞）,高い所に、高々と、空中に
inflate（他動詞）,…を膨らませる、（通貨など）を膨張させる、（価格など）をつり上げる
airship（名詞）,飛行船
transcontinental（形容詞）,大陸横断の（限定用法が多い）
invert（他動詞）,…を逆さまにする、…をひっくり返す、…を裏返しにする
greasy（形容詞）,油で汚れた、油を塗った、油っこい、お世辞たらたらの
mince（他動詞）,…を細かく切る、…を刻む、…を細分化する
mince（名詞）,ひき肉
prawn（名詞）,クルマエビ、エビ
prawn（自動詞）,エビを捕る
clam（名詞）,二枚貝、無口な人
clam（自動詞）,潮干狩りをする
casserole（名詞）,キャセロール（ふた付きの蒸し焼き鍋）、蒸し焼き鍋料理
bony（形容詞）,（人が）骨ばった、やせた、骨の（多い）
prowl（自動詞）,こそこそとうろつく
prowl（他動詞）,…をうろつく
consulate（名詞）,領事館、領事の職［任期］
proxy（名詞）,代理、代理権、委任状、代理人
scrawl（他動詞）,…をぞんざいに書く、…を落書きする
minimal（形容詞）,最小の、最小限度の、微量の
reimbursement（名詞）,返済、弁済、賠償
scribble（他動詞）,…を走り書きする、…をなぐり書きする
scribble（自動詞）,落書きする
autograph（名詞）,自筆、サイン
duckling（名詞）,子ガモ、アヒルの子、カモの肉
scurry（自動詞）,急いで行く、ちょこちょこ走る
asphalt（名詞）,アスファルト
sever（他動詞）,…を切断する、（関係など）を絶つ、…を不和にする
artery（名詞）,動脈、（鉄道・道路などの）幹線
coma（名詞）,昏睡（状態）
shuffle（自動詞）,足を引きずって歩く、言い抜ける、シャッフルする
shuffle（他動詞）,…を移し替える、（人）の配置転換をする、（トランプ）を切る
pulpit（名詞）,（教会の）説教壇
bridal（形容詞）,花嫁の、結婚の（限定用法）
bridal（名詞）,結婚式、婚礼
smear（他動詞）,…を塗りつける、…に塗りつける、…を汚す、…を中傷する
smear（名詞）,汚れ、染み
margarine（名詞）,マーガリン
smother（他動詞）,…にたっぷりかける、…を厚く包む、…を窒息させる、（感情など）を押し隠す
syrup（名詞）,シロップ、糖みつ
snuff（他動詞）,①（ろうそくなど）を消す、…を消滅させる ②…を（鼻で）吸う、…をかぐ
snuff（自動詞）,鼻から吸う、くんくんかぐ
mantelpiece（名詞）,マントルピース、炉棚
stoke（他動詞）,…に燃料をくべる、（火・感情など）をかき立てる
stoke（自動詞）,燃料をくべる、腹ごしらえをする
briskly（副詞）,活発に、元気よく、てきぱきと
nominee（名詞）,指名［推薦］された人、（株券などの）名義人
strut（自動詞）,気取って歩く、誇らしげに歩く
strut（他動詞）,（服などを）見せびらかす
strut（名詞）,気取って歩くこと
convoy（名詞）,大型トラックの集団、護衛（隊）、船団、護送
convoy（他動詞）,…を護送する、…を護衛する
swerve（自動詞）,車のハンドルを急に切る、急にそれる、逸脱する
swerve（名詞）,それること、逸脱
maniac（名詞）,熱狂家、マニア、狂人
tinker（自動詞）,いじくり回す、下手に修繕する
tinker（名詞）,（渡りの）鋳掛け屋、行商人
gadget（名詞）,（便利な）機械装置、気の利いた道具、部品
infantry（名詞）,（the infantryで）歩兵（隊）
wade（自動詞）,（水中を）歩いて渡る、苦労して進む
numb（形容詞）,まひしている、（寒さで）かじかんだ、呆然とした
numb（他動詞）,…をまひさせる、…を無感覚にする
weld（他動詞）,…を溶接する、…を結合する、…を統合する
alloy（名詞）,合金、非金属、混ぜ物
alloy（他動詞）,…を合金にする
stud（名詞）,（飾り）びょう、飾りボタン、（建物の）間柱
stud（他動詞）,…に飾りボタンを付ける、…にちりばめる
wince（自動詞）,顔をしかめる、尻込みする、たじろぐ
abdomen（名詞）,腹部
wrench（他動詞）,…をねじる、…をもぎ取る、…をねんざする
wrench（自動詞）,ねじれる、よじれる
wrench（名詞）,レンチ、ねんざ、ねじること
hideous（形容詞）,恐ろしい、ぞっとする、忌まわしい
wrestle（他動詞）,…を組み伏せる、…と取っ組み合う
wrestle（自動詞）,組み打ちをする、レスリングする
wrestle（名詞）,組み打ち、レスリング
infamous（形容詞）,悪名の高い、不名誉な、恥ずべき
fugitive（名詞）,逃亡者、避難民、亡命者
meticulous（形容詞）,几帳面な、細かいことにこだわる、注意深い
abide（他動詞）,…を我慢する、…に耐える
abide（自動詞）,とどまる、住む
sloppy（形容詞）,だらしない、不注意な、めそめそした、汚れたままの
abstain（自動詞）,控える、慎む
fatty（形容詞）,脂肪（質）の、油っこい
fatty（名詞）,でぶ
herbal（形容詞）,草の、草本の、薬草の（限定用法が多い）
amass（他動詞）,…を蓄える、…を蓄積する
colossal（形容詞）,巨大な、莫大な、とてつもない
maritime（形容詞）,海の、海事の、海運業の（限定用法が多い）
inmate（名詞）,（刑務所の）囚人、（精神病院などの）患者、収容者
baptize（他動詞）,（人）に洗礼を施す、（人）を…の宗派の教徒にする、（人）に…の洗礼名を付ける
versatile（形容詞）,多芸多才の、用途の広い、融通性のある
brag（自動詞）,自慢する
brag（他動詞）,…を自慢する
repertoire（名詞）,レパートリー、上演［演奏］目録
christen（他動詞）,（人）に洗礼を施す、（人）に洗礼を施して…と命名する
deceased（形容詞）,死んだ、故…
deceased（名詞）,（the deceasedで）死者、故人
coax（他動詞）,…をあやす、…をおだてる、…をまるめ込む
coax（自動詞）,あやす、なだめる
toddler（名詞）,よちよち歩きの幼児
consign（他動詞）,（人）を（…に）追いやる、…を渡す、…をしまう、…を預ける、…を託す
guiltless（形容詞）,潔白な、罪のない、経験［知識］のない
convene（自動詞）,集まる、召集される
convene（他動詞）,…を召集する
resumption（名詞）,再開、続行、回収、回復
converge（自動詞）,集まる、群がる、集中する、一つにまとまる
premiere（名詞）,初日、初演、封切り、主演女優
premiere（自動詞）,初演される
premiere（他動詞）,…を初演する
premiere（形容詞）,初日の、初演の、主要な
crucify（他動詞）,（人）を十字架にはりつけにする、…を厳しく非難する
detention（名詞）,監禁、留置、（放課後の）居残り
demolish（他動詞）,…を破壊する、（計画など）をくつがえす、…を廃止する
debris（名詞）,破片、残骸、がらくた
mediation（名詞）,調停、仲裁、取り次ぎ
deploy（他動詞）,（軍隊など）を配備する、…を配置する
deploy（自動詞）,配備する、配置する
brigade（名詞）,大部隊、旅団、団体
dismantle（他動詞）,…を分解する、…を取り壊す、…から（設備などを）取り除く
projector（名詞）,投影機、投光器、プロジェクター、計画者
soot（名詞）,すす
soot（他動詞）,…をすすだらけにする
dispel（他動詞）,…を一掃する、…を追い払う
longstanding（形容詞）,ずっと昔からの、積年の（限定用法）
misconception（名詞）,誤認、思い違い、勘違い
disperse（他動詞）,…を（追い）散らす、（知識など）を広める、（ビラなど）をまき散らす
migrant（形容詞）,移住性の（限定用法）
migrant（名詞）,渡り鳥、季節労働者、移住者
provocative（形容詞）,挑発的な、物議を醸す、（人を）刺激する
paramount（形容詞）,最高（位）の、主要な、卓越した
economize（自動詞）,節約する、倹約する
economize（他動詞）,…を節約する、…を倹約する
visibility（名詞）,視界、（大気の）透明度、知名度
eject（他動詞）,…を追い出す、…を取り出す、（液体・気体など）を噴出する
eject（自動詞）,（パイロットが）緊急脱出する
leverage（名詞）,力、影響力、てこの作用
elude（他動詞）,…を逃れる、…をうまく避ける、（考えなどが）（人）に理解できない
indictment（名詞）,起訴、告発、非難、欠陥
adoration（名詞）,崇拝、熱愛、愛慕
emulate（他動詞）,…を見習う、…と張り合う、…に匹敵する
legislator（名詞）,立法者、法律制定者
enact（他動詞）,（法律）を制定する、…を立法化する、（劇）を上演する
err（自動詞）,過ちを犯す、思い誤る
fluctuation（名詞）,（数値などの）変動、変動幅、（精神的な）動揺
demographics（名詞）,（複数扱い）人口統計（値）、人口動態
tactful（形容詞）,如才ない、機転の利く
feign（他動詞）,…を装う、…のふりをする
allegiance（名詞）,忠誠、忠実さ、献身
guild（名詞）,（同業）組合、ギルド
royalist（名詞）,王政主義者、王党員
flirt（自動詞）,浮気する、いちゃつく、（考えなどを）もてあそぶ
forge（他動詞）,…を偽造する、…をでっち上げる、（関係など）を築く、（金属製品）を鍛造する
forge（名詞）,鍛冶炉、鍛冶場、鉄工所
affidavit（名詞）,宣誓供述書
fortify（他動詞）,…の防備を固める、…を強化する、…を補強する
fortress（名詞）,要塞（都市）、堅固な場所
ammunition（名詞）,弾薬、攻撃［防衛］手段
greyhound（名詞）,グレーハウンド（猟犬）、（Greyhoundで）グレーハウンドバス会社
fracture（他動詞）,（骨）を折る、（物）を壊す
fracture（自動詞）,折れる、骨折する、壊れる
fracture（名詞）,骨折、割れ目
mishap（名詞）,不運な出来事、ちょっとした事故、災難
boastful（形容詞）,自慢する、自慢好きの
nobleman（名詞）,貴族、高貴な生まれの人
gratify（他動詞）,（願望・好奇心など）を満たす、…を満足させる、…を喜ばせる、…を楽しませる
wreckage（名詞）,（難破船の）残骸、漂流物、難破、（計画の）破たん
hamper（他動詞）,…を妨げる、…を阻止する
hamper（名詞）,束縛
ferocious（形容詞）,猛烈な、恐ろしい、凶暴な、猛烈な
hoard（他動詞）,…を蓄える、…を貯蔵する
hoard（名詞）,貯蔵
impending（形容詞）,（危険などが）差し迫った、切迫した（限定用法が多い）
camper（名詞）,キャンプする人、キャンパー、キャンピングカー
huddle（自動詞）,（人が）集まる、身を寄せ合う、体を丸める、相談する、（アメフトで）ハドルを組む
huddle（他動詞）,…を集める
huddle（名詞）,群衆、集団、協議
pleasurable（形容詞）,楽しい、愉快な、快い
wanderer（名詞）,放浪者、さすらい人、歩き回る人
implore（他動詞）,（人）に懇願する、…を請う
scam（名詞）,詐欺、ぺてん
scam（他動詞）,（人）からだまし取る、（金・物）をだまし取る
adept（形容詞）,熟達した、熟練した、精通した
improvise（他動詞）,…を即興で作る［歌う、演奏する］、（食事など）を間に合わせで作る
improvise（自動詞）,即興で作る［歌う、演奏する］、間に合わせで作る
rhyme（名詞）,韻、同韻語
rhyme（自動詞）,韻を踏む
indict（他動詞）,…を起訴する、…を非難する
atrocity（名詞）,残虐（行為）、非道、極悪
padding（名詞）,詰め物、詰めること、余計な挿入句、水増し
insulate（他動詞）,…を断熱する、…を絶縁させる、…を孤立させる
invoke（他動詞）,（法など）を発動する、…を引き合いに出す、…を祈願する
amnesty（名詞）,恩赦、大赦、特赦
dissident（名詞）,反体制者、批判者、意見が違う人
dissident（形容詞）,意見を異にする、異議のある
statutory（形容詞）,法令の、法定の、制定法の（限定用法が多い）
levy（他動詞）,（税金）を課す、…を課税する
levy（名詞）,税金の取り立て、課税、徴収
pendulum（名詞）,（時計などの）振り子、動向、動揺するもの
lull（他動詞）,…を寝かし付ける、…をあやす、…を安心させる
lull（名詞）,一時的な静止
muster（他動詞）,（勇気など）を奮い起こす、…を召集する
muster（自動詞）,集まる、集合する
courtroom（名詞）,法廷
incremental（形容詞）,徐々に増加する、漸増の、漸進の
optimize（他動詞）,（システム・プログラムなど）を最適化する、…を最大限に利用する
idleness（名詞）,怠惰、遊んでいること、無駄
orchestrate（他動詞）,…を組み合わせる、…を結集する、…を組織化する、…を画策する
continuance（名詞）,連続、存続、継続期間、続き
pandemic（形容詞）,（病気が）世界的に大流行の、感染爆発の
pandemic（名詞）,感染爆発、パンデミック
uprising（名詞）,反乱、動乱、起床、起立
oust（他動詞）,（人）を追い払う、（人）を立ち退かせる、…を取り上げる
overcrowd（他動詞）,…をいっぱいにし過ぎる、…を混雑させる
overpopulation（名詞）,人口過剰
overhaul（他動詞）,…を徹底的に点検する、…を精査する
overhaul（名詞）,点検整備、オーバーホール
jumbo（名詞）,ジャンボジェット機（jumbo jet）、巨大なもの
jumbo（形容詞）,特大の、巨大な（限定用法）
recurrent（形容詞）,頻発する、再発する、繰り返される（限定用法が多い）
barge（名詞）,はしけ、平底荷船、屋形船
overload（他動詞）,…に荷を積み過ぎる、…に負荷を掛け過ぎる
overload（名詞）,積み過ぎ、過負荷
insurer（名詞）,保険業者、保険会社
overpay（他動詞）,…に払い過ぎる、…を余分に払う
override（他動詞）,（考えなど）をくつがえす、…を破棄する、…に優先する
censure（名詞）,非難、酷評、不信任
censure（他動詞）,…を非難する、…を酷評する
liquidity（名詞）,流動性、（資産の）換金性
pep（他動詞）,…を活気づける、…を元気づける
pep（名詞）,元気、活気、気力
crafty（形容詞）,悪賢い、ずる賢い
pervert（他動詞）,…をゆがめる、…を（正しい道から）そらす、…を悪用する
pervert（名詞）,変質者、変態
pitiless（形容詞）,情け容赦のない、無情な、無慈悲な
plunder（他動詞）,…を略奪する、…を略奪して荒らす
plunder（自動詞）,略奪する
plunder（名詞）,盗品、強奪
loot（名詞）,戦利品、略奪品、不正利得
covenant（名詞）,契約、誓約、約款
