symposium（名詞）,シンポジウム、討論会
flap（名詞）,羽ばたきの音、（航空機の）フラップ、（本のカバーなどの）折り返し部分
thunderstorm（名詞）,激しい雷雨
flush（自動詞）,（興奮・怒りなどで）顔が赤くなる、紅潮する、（ほおなどが）赤くなる、（水が）どっと流れる
flush（他動詞）,（ほおなど）を赤くさせる、（水）をどっと流す
flush（名詞）,どっと水を流すこと、赤面
indignation（名詞）,義憤、憤り
heighten（他動詞）,…を高める、…を高くする
heighten（自動詞）,高まる、高くなる
contradiction（名詞）,矛盾、矛盾した言動、反対の主張、反論
hush（自動詞）,静かになる
hush（他動詞）,…を静かにさせる、…をなだめる、（事実など）をもみ消す
hush（名詞）,沈黙、静けさ
lecturer（名詞）,講師、講演者
illuminate（他動詞）,…を照らす、（物・場所）を明るくする、（問題など）を明らかにする
wintertime（名詞）,（しばしば the wintertime で）冬、冬期
prevailing（形容詞）,一般的な、行き渡った、支配的な、有力な（限定用法）
incorporate（他動詞）,…を組み込む、…を組み入れる、…を合体させる、…を法人組織にする
incorporate（自動詞）,合併［合体］する
incorporate（形容詞）,合併した、法人［会社］組織の
raid（名詞）,襲撃、急襲、（警察などの）手入れ、侵入
raid（他動詞）,…を襲撃［急襲］する、（警察が）…を手入れする
metropolitan（形容詞）,主要都市の、大都市の（限定用法が多い）
intensify（自動詞）,激しくなる、強くなる、強まる
intensify（他動詞）,…を激しくする、…を増大する、…を強める
intake（名詞）,摂取、（空気などの）取り入れ、吸い込み、（空気などの）取り入れ口
lengthen（他動詞）,…を長くする、…を伸ばす
lengthen（自動詞）,長くなる
rehabilitation（名詞）,リハビリテーション、社会復帰、再建
cane（名詞）,つえ、ステッキ、（トウなどの）茎、サトウキビ（sugar cane）
cane（他動詞）,…を罰としてむちでたたく
lessen（他動詞）,…を減らす、…を少なく［小さく］する
lessen（自動詞）,減る、小さくなる
bruise（名詞）,打撲、打撲傷、打ち身、（果物などの）傷、（心の）傷
bruise（他動詞）,…に打撲を負わせる、（果物など）に傷をつける、（人の心）を傷つける
bruise（自動詞）,（果物・皮膚などが）傷つく
recollection（名詞）,思い出、記憶、回想、思い出すこと
debut（名詞）,デビュー、初舞台
debut（自動詞）,（社交界などに）デビューする、初舞台を踏む
debut（他動詞）,（製品など）を初公開する
debut（形容詞）,処女作の（限定用法）
temporarily（副詞）,一時的に、仮に
lighten（他動詞）,…を明るくする
lighten（自動詞）,明るくなる
nationalize（他動詞）,…を国営化する、…を全国的に展開する
miner（名詞）,鉱山労働者、鉱員
preface（名詞）,序文、きっかけ、発端
preface（他動詞）,…に序文を付ける
precede（他動詞）,…の前に置く、（時間的に）…に先行する、…より先に起こる、（重要性などが）…より上である
appendix（名詞）,（本などの）付録、補遺、（医学で）突起、虫垂
pulse（名詞）,鼓動、脈拍、（通信の）パルス、（音・光の）波動
pulse（自動詞）,鼓動する、脈打つ
quicken（自動詞）,速くなる、速まる、活発になる
quicken（他動詞）,…を速くする、…を活気づける
apprehension（名詞）,不安、心配、逮捕
fig（名詞）,イチジク（の実）、ささいな量
ripen（自動詞）,（果物などが）熟する、実る、成熟する
ripen（他動詞）,（果物など）を熟させる
goldfish（名詞）,金魚
rot（自動詞）,腐る、腐敗する、朽ちる、（道徳的に）堕落する
rot（他動詞）,…を腐らせる、…を腐敗させる
rot（名詞）,腐敗、堕落
distributor（名詞）,流通業者、販売者、分配器、配電器
simplify（他動詞）,…を単純にする、…を簡単［平易］にする、…を簡素化する
merchandise（名詞）,（集合的に）商品
merchandise（他動詞）,…を売買［取引］する、…の販売を促進する
metropolis（名詞）,大都市、主要都市、（産業・文化の）中心地
situate（他動詞）,…を位置づける、…を置く、…を据える
dose（名詞）,（１回分の）服用量、薬になるもの
soothe（他動詞）,…を軽くする、（痛みなど）を和らげる、…をなだめる
soothe（自動詞）,気分を落ち着かせる
bowel（名詞）,腸、はらわた
subscription（名詞）,定期［予約］購読（料）、（インターネット・電話などに）加入すること、寄付（金）
surpass（他動詞）,…を上回る、…に勝る
scandalous（形容詞）,恥ずべき、不面目な、中傷的な
symbolize（他動詞）,…を象徴する、…の象徴である、…を記号で表す
telecommunications（名詞）,電気通信、（電子機器による）遠距離通信（単数扱い）
storehouse（名詞）,倉庫、貯蔵所
thaw（自動詞）,（雪・氷などが）溶ける、（冷凍食品が）解凍される、（体のこわばりなどが）暖まってほぐれる、（人が）打ち解ける
thaw（他動詞）,（雪・氷など）を溶かす、（冷凍食品）を解凍する
thaw（名詞）,解けること、打ち解けること
thicken（自動詞）,（液体などが）濃くなる、密集する、厚くなる
thicken（他動詞）,（液体など）を濃くする、…にとろみをつける、…を密集させる、…を厚くする
lighthouse（名詞）,灯台
stationery（名詞）,文房具、便せん
thrive（自動詞）,（事業などが）成功する、繁栄する、（植物などが）成長する、生きがいにする
gardening（名詞）,園芸、庭いじり、ガーデニング
update（他動詞）,（本・情報・ソフトウエアなど）を最新のものにする、…を更新する、…を改訂する
update（名詞）,最新情報、最新版
wither（自動詞）,（植物などが）しおれる、（体力・気力などが）衰える、（色が）あせる、（音が）消えてなくなる
wither（他動詞）,（植物など）をしおれさせる、（体力・気力など）を衰えさせる
chancellor（名詞）,（しばしば Chancellor で）（ドイツなどの）首相、（英国の）大蔵大臣、長官、大臣
affirm（他動詞）,…を主張する、…を断言する、…を肯定する
affirm（自動詞）,断言する、肯定する
continuation（名詞）,継続、存続、（話などの）続き
drastic（形容詞）,思い切った、徹底的な、（薬の効果などが）強烈な
anonymous（形容詞）,匿名の、個性のない
allege（他動詞）,…を断言する、…を主張する
commissioner（名詞）,理事、署長、委員、長官
conspiracy（名詞）,陰謀、共謀
arrogant（形容詞）,横柄な、無礼な
deceitful（形容詞）,不正直な、人をだます、人を誤らせるような
arouse（他動詞）,（感情・興味など）を呼び起こす、…を喚起する、…を誘発する、…の目を覚ます
fury（名詞）,激怒、激しさ、猛威
creditor（名詞）,債権者、貸し主
pedestrian（名詞）,歩行者、徒歩旅行者
pedestrian（形容詞）,徒歩の、歩行の（限定用法）
beware（自動詞）,注意する、用心する
beware（他動詞）,…に注意する、…に用心する
pathway（名詞）,小道、進路
tram（名詞）,路面［市街］電車、ケーブルカー、（鉱山の）トロッコ
chatter（自動詞）,ペチャクチャおしゃべりする、ペラペラよくしゃべる、（鳥などが）けたたましく鳴く
chatter（名詞）,おしゃべり、（鳥などの）鳴き声
idol（名詞）,アイドル、崇拝される人
clarify（他動詞）,…を明らかにする、…をはっきりさせる
constitutional（形容詞）,憲法上の、立憲的な、健康によい
dean（名詞）,学部長
commend（他動詞）,…を褒める、…を推薦する
superb（形容詞）,素晴らしい、極上の、豪華な
thesis（名詞）,学位論文、命題
predecessor（名詞）,前任者、先輩、前にあったもの
concede（他動詞）,…を認める、…を容認する、（権利など）を与える、…を譲渡する
concede（自動詞）,譲歩する、負けを認める
statistical（形容詞）,統計の、統計に基づく（限定用法が多い）
falsehood（名詞）,うそ、偽り、欺まん
confer（自動詞）,相談する
confer（他動詞）,（学位・称号など）を与える
treasurer（名詞）,財務担当者、会計係
fiscal（形容詞）,会計（上）の、財務の、国庫の
confide（自動詞）,秘密を打ち明ける、信頼する
confide（他動詞）,（秘密など）を打ち明ける、…を任せる
weary（形容詞）,うんざりしている、飽き飽きしている、（物事が）疲れさせる、退屈な、疲れ切った、へとへとの
dissatisfied（形容詞）,満足していない、不満な
pastor（名詞）,牧師、羊飼い
console（他動詞）,…を慰める、…を元気づける
console（名詞）,コンソール、本体、制御装置、（テレビなどの）コンソール型
sorrowful（形容詞）,悲嘆に暮れた、悲しんでいる、哀れな
formulate（他動詞）,…を明確に述べる［表す］、…を公式化する、…を考案する
amendment（名詞）,修正条項、改正、訂正
grumble（自動詞）,ブツブツ言う、不平を言う
grumble（他動詞）,…を文句たらたらに言う
grumble（名詞）,不平、不満
annoyance（名詞）,いら立たしさ、迷惑、困惑、困り事
utensil（名詞）,（通常 utensils で）用具、器具
disciple（名詞）,弟子、信奉者
implore（他動詞）,…を懇願する、…を請う
doctrine（名詞）,教義、信条、政策、（外交政策上の）主義、方策
persuasive（形容詞）,説得力のある、説得できる
persuasive（名詞）,誘因
induce（他動詞）,…を引き起こす、…を誘発する
trustee（名詞）,理事、役員、受託者、保管人
manifest（他動詞）,（感情など）を表す、…を明らかにする、…の証拠となる
manifest（形容詞）,明白な、明らかな
dissatisfaction（名詞）,不満、不平、不満の種
unskilled（形容詞）,（人が）未熟な、未熟練の、（仕事が）熟練を必要としない、（技術が）下手な
eccentric（形容詞）,奇妙な、一風変わった、常軌を逸した
eccentric（名詞）,変人、奇人
unpredictable（形容詞）,予測できない、意外性のある
perplex（他動詞）,…を当惑させる、…をまごつかせる、…を混乱させる
profess（他動詞）,…を明言［公言］する、…を装う、…するふりをする
profess（自動詞）,明言［公言］する
supportive（形容詞）,支持する、支える、援助する、協力的な
civic（形容詞）,市民の、都市の、市の（限定用法）
reconcile（他動詞）,…を和解させる、…を仲裁する、…を調和させる、…に甘んじさせる
reconcile（自動詞）,和解する
foe（名詞）,敵、反対者
rouse（他動詞）,（関心・意欲など）を起こさせる、…を目覚めさせる
folklore（名詞）,民間伝承
slant（他動詞）,（事実・記事など）をゆがめる、…をゆがめて書く［話す］、…を歪曲する、…を傾ける
slant（自動詞）,傾く、斜めになる
slant（名詞）,傾斜、斜面
botanical（形容詞）,植物学の、植物の（限定用法）
sensational（形容詞）,世間を騒がせる、扇情的な、素晴らしい
testify（他動詞）,…を証言する、…の証拠となる
testify（自動詞）,証言する、証拠となる
commuter（名詞）,通勤［通学］者
bulletin（名詞）,掲示、広報、（テレビ・ラジオ・新聞などの）短いニュース、速報
blink（他動詞）,（目）をまばたきする、（目）をくらます、（光など）を明滅させる
blink（自動詞）,まばたきする、（星・光などが）またたく、明滅する
blink（名詞）,まばたき、またたき
disbelief（名詞）,信じないこと、不信、疑惑
chime（自動詞）,（鐘などが）鳴る、（意見などが）一致する
chime（他動詞）,（鐘など）を鳴らす、（時刻）を（チャイムなどで）告げる
chime（名詞）,（玄関・時計などの）チャイム、（教会などの1組の）鐘、チャイム［鐘］の音
brunch（名詞）,ブランチ、朝食を兼ねた昼食
chuckle（自動詞）,クスクスと笑う、声を出さずに笑う
chuckle（名詞）,クスクス笑い、含み笑い
bridegroom（名詞）,花婿、新郎
witty（形容詞）,気の利いた、機知のある、しゃれのうまい
hoof（名詞）,ひづめ
clatter（自動詞）,（車・人などが）ガタガタ音を立てて進む、ガタガタ音を立てる
clatter（名詞）,カタカタ［ガタガタ］いう音、騒々しい音
desolate（形容詞）,（場所が）人けのない、荒れ果てた、わびしい、寂しい
desolate（他動詞）,…を悲しませる、…を荒廃させる
curly（形容詞）,巻き毛の、カールしている
clutch（他動詞）,…をしっかり握る［つかむ］、…を抱き締める
clutch（自動詞）,つかもうとする、つかみかかる
clutch（名詞）,しっかりつかむこと、クラッチ、手中
bouquet（名詞）,花束
serpent（名詞）,ヘビ、（the Serpent で）悪魔
coil（他動詞）,…をぐるぐる巻き付ける、…をぐるぐる巻く
coil（自動詞）,（ヘビが）とぐろを巻く
coil（名詞）,とぐろ巻き、輪、コイル
bough（名詞）,大きな枝
hound（名詞）,猟犬
hound（他動詞）,…を猟犬で狩る、…を（執拗に）追跡する、…を追い回す
devour（他動詞）,…をがつがつ食べる、…をむさぼり食う、…をむさぼり読む、…を食い入るように見る
hare（名詞）,野ウサギ
appliance（名詞）,器具、器械、道具
dictate（他動詞）,…を口述する、…を書き取らせる、…を命令する
dictate（自動詞）,口述する、要件を書き取らせる
dictate（名詞）,（通常 dictates で）命令
elevate（他動詞）,…を持ち上げる、（程度など）を上げる、（精神など）を高める、（人）を昇進させる
dome（名詞）,ドーム、半球体
embrace（他動詞）,…を抱き締める、（提案など）を快諾する、（考え・機会など）に喜んで応じる
embrace（自動詞）,抱き合う、抱擁する
embrace（名詞）,抱擁
sweetie（名詞）,恋人、かわいい人［物］
mansion（名詞）,大邸宅、（英）（mansions で）マンション
tedious（形容詞）,退屈な、飽き飽きする
campaigner（名詞）,（選挙などの）運動家、活動家
flip（他動詞）,…をパタパタさせる、…を（指で）はじく、（ページなど）をぱっとめくる、…を裏返す
flip（自動詞）,素早くめくる、裏返しになる
flip（名詞）,（指で）はじくこと、（ページを）めくること、宙返り
handout（名詞）,ビラ、印刷物、（講演などの）配布用資料、（配布用の）商品サンプル、試供品
outing（名詞）,遠足、ピクニック、遠出
gargle（自動詞）,うがいをする、がらがら声で言う
gargle（他動詞）,…をうがいして清める、…をがらがら声で言う
gargle（名詞）,うがい薬
detergent（名詞）,合成洗剤、洗浄剤
detergent（形容詞）,洗浄性の（限定用法）
giggle（自動詞）,クスクス笑う
giggle（名詞）,クスクス笑い、面白い人、ジョーク
superstition（名詞）,迷信、盲信
groom（他動詞）,（馬など）を手入れする、（髪など）をきれいにする、（動物が）…の毛繕いをする
groom（自動詞）,（動物が）毛繕いをする
groom（名詞）,新郎（bridegroom）、馬取扱人
horseshoe（名詞）,馬てい、てい鉄
horseshoe（形容詞）,馬てい形の、U字形の
brute（名詞）,獣、動物
brute（形容詞）,動物の、凶暴な、野蛮な（限定用法）
growl（自動詞）,うなる、がみがみ言う、とどろく
growl（他動詞）,…を怒った声で言う
growl（名詞）,うなり声、ほえ声
chick（名詞）,ひよこ、ひな、（俗語で）若い［魅力的な］女性
hatch（自動詞）,（ひな・卵が）ふ化する、かえる
hatch（他動詞）,（ひな・卵）をふ化させる、（計画・陰謀など）を企てる
hatch（名詞）,ふ化
haul（他動詞）,…を引っ張る、…を引きずる、…をたぐる、（物）を運ぶ
haul（自動詞）,（網などを）引く
lifeboat（名詞）,救命艇［ボート］
ashore（副詞）,岸へ、浜へ
thicket（名詞）,やぶ、低木の茂み
hiss（自動詞）,（ヘビ・水蒸気などが）シューと音を立てる、（警告などを表すため）小声でシーッと言う
hiss（他動詞）,…を語気強く小声で言う、シーッと言って（警告など）を表す
hiss（名詞）,（ヘビ・水蒸気などの）シューという音、シーッという声
barricade（名詞）,バリケード、障害物
barricade（他動詞）,（道路など）をバリケードでふさぐ
hurl（他動詞）,…を強く投げる、…を放り投げる、（ののしり・悪口など）を浴びせる
hurl（自動詞）,（米）吐く
riot（名詞）,暴動、騒動
riot（自動詞）,暴動を起こす
jockey（名詞）,（競馬の）騎手、（乗り物の）運転者、（機械の）操作係
jockey（自動詞）,騎手を務める
jockey（他動詞）,（馬）に騎手として乗る
lash（他動詞）,…をむち打つ、…を駆り立てる、…を（ひもで）しっかり縛る、（風雨が）…に激しく打ちつける
lash（自動詞）,（風雨が）激しく打つ、激しく動く、むち打つ、非難する
lash（名詞）,むちで打つこと、むち打ち、激しい非難
avail（名詞）,（通常否定文で）利益、効用
avail（自動詞）,（通常否定文・疑問文で）役に立つ
avail（他動詞）,（通常否定文・疑問文で）…に役立つ
splendor（名詞）,素晴らしさ、豪華、壮観
maple（名詞）,モミジ、カエデ
linger（自動詞）,（立ち去り難くて）ぐずぐずする、居残る、（痛み・記憶などが）なかなか消えない、（視線がいつまでも）離れない
usage（名詞）,使い方、使用、語法、慣用法、慣習
bracket（名詞）,ブラケット、かっこ、腕木
bracket（他動詞）,…をかっこで囲む、…に腕木をつける
misplace（他動詞）,…を置き違える、…を置き忘れる
pave（他動詞）,…を舗装する、…を敷き詰める、…を覆う
coastal（形容詞）,沿岸の
pluck（他動詞）,…を引き抜く、…を引っ張る
watering（名詞）,水まき、（織物の）波紋、波形模様
watering（形容詞）,水を供給する、温泉の
wanderer（名詞）,放浪者、さすらい人、歩き回る人
reappear（自動詞）,再び現れる、再現する
shabby（形容詞）,粗末な、ぼろを着た、卑しい
lapse（名詞）,（時の）経過、ささいな誤り
lapse（自動詞）,（時が）経過する、（権利などが）失効する、（習慣が）廃れる
recite（他動詞）,（詩の一節など）を暗唱する、…を朗読する、…について詳しく話す
recite（自動詞）,暗唱する、朗読する
gull（名詞）,カモメ（seagull）
rustle（自動詞）,カサカサ［サラサラ］音を立てる、（主に米）家畜を盗む
rustle（他動詞）,…をカサカサ［サラサラ］と音を立てさせる、（主に米）（家畜）を盗む
footpath（名詞）,小道
shriek（自動詞）,金切り声を上げる、悲鳴を上げる、（物が）かん高い音を出す
shriek（他動詞）,…を金切り声で言う
shriek（名詞）,金切り声、悲鳴、かん高い音
illumination（名詞）,照明、明るくすること
shrug（自動詞）,肩をすくめる
shrug（他動詞）,（肩）をすくめる
shrug（名詞）,肩をすくめること
abandonment（名詞）,放棄、見捨て（られ）ること、断念
Antarctic（名詞）,（the Antarctic で）南極地方
Antarctic（形容詞）,南極の、南極地方の（限定用法）
sip（自動詞）,ちびちび飲む
sip（他動詞）,…をちびちび飲む
sip（名詞）,一口、ひとすすり
sherry（名詞）,シェリー酒
horoscope（名詞）,星占い、占星術、十二宮図、天宮図
plump（形容詞）,丸々と太った、ぽっちゃりした
slumber（自動詞）,うとうとする、まどろむ、休止［無活動］状態になる
slumber（名詞）,眠り、まどろみ、休止［無活動］状態
tramp（名詞）,放浪者
tramp（自動詞）,強く踏みつける、放浪する
snore（自動詞）,いびきをかく
snore（名詞）,いびき
lorry（名詞）,（英）大型トラック、運搬車
splash（他動詞）,（水など）をはねかける、…を飛び散らす、（写真・記事・広告など）を派手に載せる
splash（自動詞）,（水などが）はねる、飛び散る
splash（名詞）,しぶき、はねを飛び散らすこと、（新聞の）派手な記事
stout（形容詞）,太った、どっしりした
squash（他動詞）,…を押しつぶす
squash（自動詞）,つぶれる
squash（名詞）,押しつぶすこと、スカッシュ（テニスに似た室内ゲーム）
parsley（名詞）,パセリ
stab（他動詞）,…を突き刺す、…を鋭く傷つける
stab（名詞）,突き刺すこと、刺すような痛み
spear（名詞）,（戦闘用の）やり
spear（他動詞）,…をやりで突き刺す
tumble（自動詞）,倒れる、転ぶ、（株価などが）暴落［急落］する、（建物・体制などが）崩壊する
tumble（名詞）,転ぶこと、転倒、宙返り、（株価などの）暴落、急落
exhausting（形容詞）,心身を疲れさせる、消耗的な
sleeper（名詞）,寝台車、眠る人、（線路の）枕木
vibrate（自動詞）,揺れる、振動する、震える、（声・音が）反響する
vibrate（他動詞）,…を振動させる、…を揺り動かす
creek（名詞）,小川、（主に英）入り江
wring（他動詞）,（濡れた物）を絞る、…を堅く握る、…をぐいとひねる
zip（他動詞）,…のチャックを閉める［開ける］
zip（自動詞）,ビュッと音を立てる、勢いよく進む
takeout（形容詞）,持ち帰り用の、テイクアウトの
takeout（名詞）,持ち帰り用の料理（店）
administer（他動詞）,…を管理［運営］する、…を治める、（措置・試験など）を実施する、（薬）を投与する
geology（名詞）,地質学、（ある地域の）地質学的特徴
forum（名詞）,フォーラム、公開討論会、公共広場
glacier（名詞）,氷河
adorn（他動詞）,…を飾る、…を装飾する、…を魅力的にする
altar（名詞）,祭壇、供物台、聖体拝領台
exquisite（形容詞）,非常に美しい、申し分のない、洗練された
carving（名詞）,彫刻、彫刻作品、肉の切り分け
presumably（副詞）,恐らく、推定上
amend（他動詞）,（法律など）を改正［修正］する、…を改良する
amend（自動詞）,行動を改める
forthcoming（形容詞）,来るべき、用意された
bestow（他動詞）,（賞・名誉ある位など）を授ける、…を与える
wreath（名詞）,花冠、花輪、リース
victor（名詞）,勝利者、戦勝者、優勝者
cater（他動詞）,（米）（パーティーなど）の料理を（代金を取って）賄う
cater（自動詞）,（パーティーなどの）料理を賄う、（要求に）応える
luncheon（名詞）,昼食会、午餐会、昼食
certify（他動詞）,…に免許を与える、…を認定する、…を保証する、…を（正式に）証明する
applicant（名詞）,応募者、志願者
pharmacist（名詞）,薬剤師、薬局
cherish（他動詞）,…を大事にする、…をかわいがる、（思い出など）を心に抱き続ける
luxurious（形容詞）,上等で高価な、ぜいたくな
shawl（名詞）,ショール、肩掛け
souvenir（名詞）,記念品、土産、形見
inexperienced（形容詞）,未熟な、経験不足の、不慣れの
trainee（名詞）,見習い、訓練生、研修［実習］生
compensate（自動詞）,埋め合わせる、補う、補償［賠償］する
compensate（他動詞）,…を補う、…を埋め合わせる、…を相殺する、（損害など）を補償［賠償］する
inherent（形容詞）,生まれつきの、本来備わっている、固有の（限定用法が多い）
diligence（名詞）,勤勉、不断の努力
conform（自動詞）,従う、順応する、一致する、適合する
conform（他動詞）,…を従わせる、…を順応させる、…を一致させる
sanitary（形容詞）,衛生の、衛生的な
criterion（名詞）,基準、標準、尺度
superpower（名詞）,超大国
contend（自動詞）,争う、戦う、取り組む、論争する
contend（他動詞）,…と主張する
peninsula（名詞）,半島
contractor（名詞）,請負業者、契約人
contrive（他動詞）,…を企てる、…をもくろむ、…をどうにかやる、…を考案する
confrontation（名詞）,対決、直面
fraud（名詞）,詐欺（師）、裏切り
detach（他動詞）,…を分離する、…を派遣する
detach（自動詞）,分離する
capsule（名詞）,カプセル
capsule（形容詞）,小型の、簡略な（限定用法）
cone（名詞）,円すい（形）、円すい状の物、アイスクリームコーン、円すい標識
discard（他動詞）,（不要なもの）を捨てる、…を放棄する、（トランプで）（不要なカード）を捨てる
discard（自動詞）,不要なカードを捨てる
discard（名詞）,放棄
duster（名詞）,ふきん、ほこりを払う人［もの］
washcloth（名詞）,（小型の）浴用タオル
dispatch（他動詞）,…を派遣する、…を急派する、…を急送する
dispatch（名詞）,派遣、発送
destroyer（名詞）,護衛艦、駆逐艦、破壊者
prevalent（形容詞）,広く行き渡った、流行した、優勢な
displace（他動詞）,…に取って代わる、…を強制退去させる、…を追放する、…を移し替える、…を解任する
columnist（名詞）,コラムニスト
distort（他動詞）,（事実など）をゆがめて伝える、…を歪曲する、（顔など）をゆがめる
fiery（形容詞）,火のように激しい、激しやすい、火のような、燃えるように赤い（限定用法が多い）
piercing（形容詞）,（音・声が）耳をつんざくような、甲高い、（批判などが）鋭い、（寒さなどが）骨身にこたえる
divert（他動詞）,…を脇へそらす、…を方向転換させる
tiresome（形容詞）,退屈な、うんざりする、飽き飽きする、厄介な、いらいらさせる
sermon（名詞）,説教、長くて退屈な話
donate（他動詞）,…を寄付［寄贈］する、…を贈与する、…を提供する
royalty（名詞）,（通常 royalties で）印税、特許権使用料
catastrophe（名詞）,大惨事、大災害、災難
gigantic（形容詞）,巨大な、非常に大きな、巨人のような
embark（自動詞）,着手する、乗船する、乗り込む
embark（他動詞）,…を乗船させる、（船荷）を積み込む、…を乗り出させる
undertaking（名詞）,事業、仕事、約束
harmonious（形容詞）,調和のとれた、平和な、仲のよい
choir（名詞）,聖歌隊、合唱団
enchant（他動詞）,…をうっとりさせる、…を魅了する、…を大いに喜ばせる、…に魔法をかける
auditorium（名詞）,音楽堂、講堂、聴衆［観客］席
enforce（他動詞）,…を施行［実施］する、…を強制する、…を強く主張する、（議論など）を強化する
evenly（副詞）,平等に、均等に、むらなく
precision（名詞）,（時に a precision で）正確さ、的確、明確、精度
err（自動詞）,過ちを犯す、思い誤る
diagnosis（名詞）,診断、判断
escort（他動詞）,…を護衛する、（女性）をエスコートする
escort（名詞）,護衛者［団］、護衛、付き添い、（パーティーなどへ女性を）エスコートする男性
jeweler（名詞）,宝石商、宝石職人
exert（他動詞）,（力など）を発揮する、…を使う、…を行使する、（exert oneself で）懸命に努力する
decisive（形容詞）,決定的な、断固とした、果断な、明白な
abolition（名詞）,（法律・制度などの）廃止、撤廃、（時に Abolition で）（米国の）奴隷制度廃止
expend（他動詞）,（金・時間・労力）を費やす、…を使い果たす
bureaucracy（名詞）,官僚主義、（集合的に）官僚
municipal（形容詞）,市［町］の、地方自治体の、市政の、市営［町営］の（限定用法が多い）
forsake（他動詞）,（主義・信条など）を捨てる、（家族・友人など）を見捨てる、…を見放す
vocation（名詞）,（適した）職業、天職
clergyman（名詞）,聖職者、牧師
competence（名詞）,能力、力量、適性
accompaniment（名詞）,伴奏、付随するもの、付属物
gratify（他動詞）,（願望・好奇心など）を満たす、…を満足させる、…を喜ばせる、…を楽しませる
longtime（形容詞）,長年の、昔からの（限定用法）
halve（他動詞）,…を半分にする、…を半分に減らす
halve（自動詞）,半分になる、半減する
hazard（名詞）,危険、危険を引き起こす原因、偶然
hazard（他動詞）,…を思い切って言う、…を危険にさらす
mortality（名詞）,死亡、死すべき運命、死を免れないこと、死亡率（mortality rate）
hijack（他動詞）,（飛行機など）をハイジャックする、…を乗っ取る、（アイデアなど）を奪い取る
hijack（名詞）,ハイジャック
delegation（名詞）,代表団、派遣団（以上は集合的に）、（責任などの）委任
tariff（名詞）,関税、関税率
hinder（他動詞）,…を妨げる、…を遅らせる、…の邪魔になる
territorial（形容詞）,領土に関する、地域的な、一地域の、土地の
preferable（形容詞）,（preferable to … で）（…より）望ましい、選ぶに値する（叙述用法が多い）
indulge（自動詞）,（快楽・空想などに）ふける
indulge（他動詞）,…にふける、…をほしいままにする、…を満足させる、…を甘やかす
pessimism（名詞）,悲観主義、悲観
barbarian（名詞）,野蛮人、未開人、無教養な人
barbarian（形容詞）,未開の（限定用法が多い）
westward（副詞）,西へ［に］、西方へ［に］
westward（形容詞）,西への（限定用法が多い）
westward（名詞）,（the westward で）西方
intrude（自動詞）,侵入する、押し入る、侵害する
intrude（他動詞）,（意見など）を押しつける
monk（名詞）,修道士、修士
