lucrative,利益の大きい
irk,うんざりさせる
jeer,あざける
flippant,不真面目な
predilection,強い好み
enigmatic,不思議な
allegory,寓意的作品
trickle,少しずつ流れる
inanimate,生命のない
adjudicate,裁く
connive,共謀する
condescending,相手を見下すような
dank,湿っぽくて寒い
cursory,大まかな
faze,狼狽させる
suave,温厚な
conducive,貢献する
obfuscate,わかりにくくする
sanctity,神聖さ
elocution,演説法
amenable,従順な
creed,信条
cranky,怒りっぽい
disposition,気質
enliven,活気づける
insolent,生意気な
ambient,周囲の
lunge,突進する
rig,不正に操作する
partisan,支持者
rupture,破裂
shimmer,かすかに光る
loiter,うろうろする
magnanimous,度量の大きい
scrumptious,とてもおいしい
scant,不十分な
putrid,腐敗した
muddle,混乱させる
eclectic,折衷的な
jovial,陽気な
proffer,提供する
cogent,説得力のある
reel,動揺する
scorn,軽蔑する
bereft,打ちひしがれた
blurb,宣伝文
jocular,ひょうきんな
saunter,のんびり歩く
binge,過度の熱中
lampoon,風刺する
twinge,心の痛み
vexing,厄介な
tabulate,表にする
parched,干からびた
delectable,非常においしい
scrawny,やせこけた
myriad,無数の
soar,急上昇する
backlash,反発
articulate,はっきり述べる
paramount,最高の
surge,急騰
clot,凝固する
flourish,栄える
ignite,火をつける
intimidate,脅迫する
intricate,入り組んだ
perpetuate,永続させる
discard,捨てる
slaughter,屠殺する
provoke,引き起こす
repress,抑える
encompass,含む
ensue,続いて起こる
array,多様な
galvanize,衝撃を与える
revere,崇拝する
deteriorate,悪化する
intact,無傷で
entrust,委ねる
downplay,過小評価する
subsidize,補助金を与える
prone,傾向がある
surveillance,監視
ascribe,原因を～に帰する
pinpoint,特定する
decimate,殺す
surcharge,追加料金
cripple,機能を不全にする
discrepancy,不一致
pretext,口実
outlay,支出
menace,脅威
crunch,処理する
compliance,順守
diversify,多様化する
expulsion,排除
intrigue,興味をそそる
shortcoming,短所
endow,授ける
amenity,施設
bleak,見通しがよくない
futile,無益な
guise,外観
condemnation,非難
layman,素人
ambiguity,あいまいさ
prolonged,長期の
insidious,知らない間に進行する
exterminate,皆殺しにする
upstart,新興企業
mentor,よき指導者
drenched,びしょぬれの
decor,装飾
swap,交換する
flunk,不合格になる
sinister,邪悪な
backdrop,背景
implicate,関与を示す
pragmatic,現実的な
empathize,共感する
slump,急落する
posture,姿勢
lag,遅れを取る
lenient,寛大な
deflect,かわす
protagonist,主役
elastic,弾力性のある
amplify,拡大する
circumstantial,状況に基づく
breach,破る
linger,ぐずぐずする
speculation,推測
ordeal,辛い体験
embody,具体的に表す
whim,気まぐれ
muffle,消す
adulation,絶賛
disavow,否定する
poised,準備ができて
expediency,方便
homogeneous,同質の
hubris,傲慢
gloss,光沢
grovel,ひれ伏す
layover,途中下車
fling,投げつける
wean,離乳させる
shove,押しのける
limp,か弱い
sloth,怠惰
interminable,果てしなく続く
loophole,抜け穴
induct,就任させる
synthesize,統合する
din,騒音
bureaucrat,官僚
pacify,和らげる
pounce,飛びかかる
malice,悪意
bluntly,無遠慮に
squash,押しつぶす
mishap,災難
sparse,まばらな
fabricate,でっち上げる
patronage,後援
recalcitrant,反抗的な
sabotage,破壊する
contemplate,熟考する
obstruct,妨げる
shoddy,粗悪な
leeway,自由
leverage,影響力
whine,泣き言を言う
repository,収納庫
impoverish,貧乏にする
outcast,追放された人
transcend,限界を超える
efface,取り除く
vicarious,自分のことのように感じる
paragon,模範
paternity,父であること
purported,～と称されている
impetus,刺激
pledge,誓う
lineage,家系
denomination,単位
crest,頂上
constrain,制約する
figuratively,比喩的に
semblance,うわべ
indelible,消すことのできない
mystique,神秘的な雰囲気
clumsy,不器用な
bountiful,豊富な
sanctuary,鳥獣保護区域
germinate,発芽する
precipitous,非常に険しい
blurt,うっかり口にする
tumble,転ぶ
outage,供給停止
strut,誇らしげに歩く
belatedly,遅れて
erode,損なう
incarnation,化身
vulgar,下品な
arrogance,傲慢
hitch,支障
tantalizing,じらすような
eavesdrop,盗み聞きする
gimmick,仕掛け
demean,品位を落とす
shrewd,頭の切れる
agonize,苦悩する
anonymity,匿名
fetter,拘束する
lackluster,さえない
implicit,暗黙の
buffer,和らげるもの
demeanor,振る舞い
cajole,おだてる
disgruntled,不満な
urbane,洗練された
emblazon,飾る
equivocate,言葉を濁す
engulf,飲み込む
exponential,急激な
snare,わな
guzzle,がぶがぶ飲む
translucent,半透明の
jaded,うんざりした
obsequious,へつらう
tedium,退屈なこと
impound,押収する
genial,愛想のよい
embolden,勇気づける
efficacious,効き目のある
gaunt,ひどくやせた
conceit,うぬぼれ
effigy,像
throb,ずきずき痛む
progeny,子孫
grind,退屈な仕事
deface,外観を損なう
dissemble,隠す
append,追加する
consummate,非常に有能な
fervor,熱情
enamored,魅惑されて
retribution,当然の報い
emancipate,解放する
sidestep,回避する
deform,変形させる
rustic,素朴な
woe,問題
usher,案内する
nuisance,迷惑なもの
avarice,強欲
pushover,簡単なこと
dart,動く
droop,垂れる
jumble,ごちゃ混ぜにする
blanch,青ざめる
sectarian,宗派の
levitate,空中に浮く
rapture,歓喜
impermeable,不浸透性の
ascension,上昇
fumigate,燻蒸消毒する
lassitude,無気力
instantaneous,即座の
escapade,とっぴな行動
entourage,取り巻き
voraciously,貪欲に
profane,不敬な
malign,中傷する
personable,感じのよい
makeshift,間に合わせの
nauseate,吐き気を催させる
seditious,反政府的な
desultory,とりとめない
swab,拭う
decadence,堕落
luster,輝かしい名声
strenuous,激しい
succulent,肉汁の多い
indiscriminate,無差別の
clairvoyant,透視力のある
reap,享受する
fortitude,精神的な強さ
dubious,不審な
romp,跳ね回ること
grouch,不平不満な人
abyss,どん底
jilt,捨てる
transpose,入れ換える
conundrum,難題
stowage,収納場所
snitch,密告者
emphatic,強調された
snide,とげのある
widget,小さな装置
credulity,信じやすい性質
ephemeral,一時的な
insubstantial,非現実的な
beckon,手招きする
sneer,冷笑
tenuous,弱い
scuff,こすった跡をつける
ingrained,深く染み込んだ
dredge,浚渫する
niggle,くよくよする
bulge,膨らむ
perverse,屈折した
heretic,異端者
imperious,傲慢な
levy,徴収する
conflate,まとめる
prerogative,特権
collation,照合
truancy,ずる休み
unabashedly,恥ずかしがらずに
haggard,やつれた
malady,病気
indictment,起訴
vociferous,声高な
infirmity,虚弱
mutinous,反抗的な
celibate,独身主義の
taint,傷つける
insignia,記章
probationary,見習い中の
denunciation,公然の非難
debar,禁じる
lax,緩い
obnoxious,非常に不快な
harbinger,前兆
logistically,業務遂行上
exhilaration,高揚感
rancid,悪臭のする
contemptuous,軽蔑した
peddle,売り歩く
rueful,申し訳なさそうな
inoculate,予防接種する
gratuity,心づけ
conviviality,陽気さ
tantrum,かんしゃく
hallucinate,幻覚を起こす
indemnity,賠償
indolence,怠惰
underwrite,融資を引き受ける
virtuous,徳の高い
exult,大喜びする
tumult,騒動
redeem,補う
consort,付き合う
defer,延期する
delineate,詳述する
condiment,調味料
crux,核心
foist,押し付ける
dispensation,特別な許し
arrears,滞納
egalitarian,平等主義の
belittle,軽んじる
snarl,うなる
annihilate,全滅させる
crabby,不機嫌な
glib,口先だけの
jinx,不運をもたらすもの
entreaty,懇願
luminary,著名人
ebullience,情熱
senile,老齢による
incredulous,信じようとしない
waylay,呼び止める
tubby,ずんぐりした
acquiesce,黙認する
conscription,徴兵
contravene,違反する
inter,埋葬する
addendum,追加物
dribble,垂らす
rumple,くしゃくしゃにする
kindred,同類の
cardinal,非常に重要な
matriculate,入学する
treason,反逆
bereaved,残された
tier,段階
garrulous,おしゃべりな
digression,脱線
stymie,妨害する
snip,はさみで切る
dismay,うろたえさせる
volition,決断
arbitrate,仲裁する
agape,口を開けた
gradient,勾配
repulsive,嫌悪感を催させる
abduct,誘拐する
linkage,つながり
contraption,変わった機械
garble,誤って伝える
demur,異議を唱える
trounce,完全に打ち負かす
stolid,無感動な
sedate,落ち着いた
gaudy,派手な
provident,将来に備えた
fortuitously,偶然に
rebate,払い戻し
burnish,磨く
overhaul,分解修理する
ponderous,退屈な
eponymous,同名の
incisive,鋭い
bedraggled,ぐしょぐしょの
cavernous,だだっ広い
jubilant,歓喜に満ちた
aperture,すき間
devout,敬虔な
promulgate,広める
pliable,曲がりやすい
chunky,厚手の
specter,不安
undulate,起伏に富む
spoof,パロディー
extort,巻き上げる
submissive,従順な
inimical,有害で
ameliorate,改善する
waver,動揺する
ferocious,凶暴な
irresolute,優柔不断な
hilarious,とても面白い
banish,追放する
conformist,順応主義者
angst,不安
remit,送る
redolence,芳香
tingle,ひりひりする
predominate,優位を占める
apex,頂上
accreditation,認可
courier,配達人
elongate,長くする
servitude,隷属
inertia,ものぐさ
impregnable,揺るがない
stalwart,熱心な支持者
blasphemy,不敬
haughty,傲慢な
staid,生真面目な
attuned,順応して
ascetic,苦行の
reciprocate,相手に返す
prophetic,予言的な
inclement,荒れ模様の
lure,誘い込む
warden,監視員
statutory,法定の
bicker,口論する
torrid,情熱的な
swill,がぶがぶ飲む
purvey,提供する
dilate,広げる
expiate,償う
inane,ばかげた
acolyte,部下
chivalrous,勇敢な
diffuse,拡散する
intractable,解決困難な
fathom,理解する
squint,目を凝らす
confluence,同時発生
craze,一時的な熱狂
fiendish,悪魔のような
gripe,不平
cleave,執着する
luscious,とてもよい
mirth,はしゃぐこと
caveat,警告
atonement,償い
embroider,潤色する
strife,衝突
partake,参加する
juxtapose,並べる
fortress,要塞
advocate,提唱者
manipulate,操作する
regime,政権
subsequent,その後の
vulnerable,傷つきやすい
indigenous,固有の
trait,特徴
predator,捕食動物
ultimately,結局
diagnose,診断する
legitimate,理にかなった
enhance,高める
incentive,動機
validity,妥当性
proponent,擁護者
cognitive,認識の
outright,完全に
facilitate,容易にする
correlation,相関関係
underestimate,過小評価する
drawback,欠点
skeptical,懐疑的な
embrace,受け入れる
controversial,論争を引き起こす
hazardous,有害な
extract,抽出する
implement,実行する
influx,到来
outweigh,より重要である
envision,想像する
contend,強く主張する
pharmaceutical,製薬の
migration,移動
warfare,戦争
livestock,家畜
perish,死ぬ
enact,制定する
implant,埋め込む
hypothesis,仮説
breakthrough,飛躍的な進歩
overly,過度に
inherent,本来備わっている
roam,歩き回る
mandatory,義務的な
accusation,告発
contaminate,汚染する
inmate,囚人
dub,呼ぶ
genetically,遺伝子的に
credibility,信用
toxic,毒性のある
relevance,関連
thrive,育つ
underlie,基礎となる
sway,影響を与える
delegate,委ねる
foresee,予測する
reinforce,強化する
assault,襲う
inject,注射する
pricey,高価な
disrupt,混乱させる
quota,分担
forefront,最前線
uprising,反乱
constitutional,憲法の
specimen,標本
displace,立ち退かせる
mortgage,住宅ローン
socioeconomic,社会経済的な
livelihood,生計
intensify,強める
potent,強力な
induce,引き起こす
surpass,勝る
irrational,不合理な
infamous,悪名高い
outrage,激怒
overthrow,転覆させる
spur,促進する
overstate,大げさに話す
dilemma,ジレンマ
ravage,破壊する
viable,実行可能な
flawed,欠陥がある
uphold,守る
simplistic,単純すぎる
intake,摂取
tremendous,非常に大きい
indispensable,不可欠な
divert,方向を変える
projection,予測
subordinate,下位の人
necessitate,必要とする
revolt,反乱
infectious,伝染性の
expel,追放する
oppress,虐げる
disposal,処分
overrun,占領される
recipient,受け手
societal,社会の
rebellious,言うことを聞かない
niche,すき間
devastate,荒廃させる
prestige,名声
brutality,残虐さ
casualty,死傷者
rampant,はびこった
coalition,連立
confinement,監禁
microscopic,微小な
neutrality,中立
evacuate,避難する
hygiene,衛生
integral,なくてはならない
outnumber,数で上回る
albeit,であるが
disproportionate,不釣り合いな
restoration,修復
foremost,第一級の
allocate,割り当てる
hostile,敵意を持った
buildup,増加
penalize,罰する
convict,有罪判決を下す
aftermath,直後の時期
hail,迎える
merge,統合する
captive,捕らえられた
complimentary,無料で提供される
downfall,没落
selective,選択が慎重な
upheaval,変動
eradicate,根絶する
verge,瀬戸際
pretense,ふり
privileged,特権を持つ
tolerance,寛容さ
render,にする
outlaw,禁止する
reassure,安心させる
gigantic,巨大な
forcible,力ずくの
inhibit,抑制する
disguise,偽る
confidential,機密の
dismiss,退ける
irrigation,灌漑
confrontational,対決的な
hinder,妨げる
oversight,監督
skyrocket,急騰する
evaporate,蒸発する
staggering,途方もない
quo,現状
halt,止まる
exert,使う
ballot,投票用紙
disciplinary,懲戒の
solidify,凝固する
bribery,贈賄
curb,抑制する
rash,軽率な
irrelevant,関連のない
demographic,層
communal,共同の
norm,規範
advent,到来
shatter,打ち砕く
chaotic,混沌とした
integrity,正直さ
agrarian,農業の
uproar,大騒ぎ
commence,始める
coin,作る
deplete,激減させる
exempt,免除する
incite,引き起こす
unprecedented,前例のない
entity,存在
intervene,介入する
attic,屋根裏
presumption,想定
assertive,はっきり意見を述べる
liken,なぞらえる
fragility,もろさ
hefty,高額な
foe,敵
incidence,発生
catastrophe,破局
outstrip,上回る
solidarity,団結
overdue,期限が過ぎて
seamless,継ぎ目のない
evoke,喚起する
brag,自慢する
upscale,高所得者向け
renowned,名高い
freight,運送貨物
outcry,抗議
unearth,掘り出す
municipality,地方自治体
recede,後退する
taxonomic,分類学の
watershed,分岐点
instability,不安定さ
suppress,抑える
misinterpret,誤って解釈する
decent,まずまずの
retrieve,救出する
wary,警戒している
criminality,犯罪行為
vandalism,破壊行為
sanitation,衛生
setback,障害
strive,努力する
affluent,裕福な
rundown,報告
formidable,手ごわい
deregulate,規制を解く
erupt,勃発する
diminutive,小型の
benchmark,基準
indicative,示して
reliant,依存している
prosecute,起訴する
stunning,とても美しい
edible,食べられる
addictive,中毒性の
plead,認める
traumatic,心的外傷を残す
contradictory,矛盾している
hierarchical,階層的な
populous,人口の多い
raid,襲撃
humanitarian,人道的な
workload,仕事量
monopoly,独占
finalize,最終的に決定する
tack,方針
standstill,行き詰まり
extraterrestrial,地球外の
consolidate,まとめる
invariably,いつも
prevalence,普及
populace,一般大衆
glamorous,魅力的な
stoke,あおる
ration,配給
deceptive,見せかけが当てにならない
reminisce,懐かしむ
stalemate,行き詰まり
agitate,世論に訴える
entail,に伴う
detour,回り道
milestone,画期的な事件
reclaim,奪還する
transparent,透明性の高い
dissolution,解体
barren,不毛の
occupant,占有者
land,手に入れる
onlooker,傍観者
thermal,熱の
racket,大騒ぎ
humane,人道的な
withhold,与えずにおく
obsessive,強迫観念の
proposition,提案
scrutinize,綿密に調べる
containment,制御
distressing,悲惨な
impair,弱める
resurrect,復活させる
discontent,不満
loot,略奪する
conspiracy,陰謀
lousy,お粗末な
legislature,議会
interrogation,尋問
itchy,かゆい
scheme,事業計画
vocalization,発声
obsolescence,廃れること
preferential,優先的な
pesky,うるさい
janitor,管理人
pendulum,変化
perimeter,周囲
loom,迫ってくる
respiratory,呼吸の
state-of-the-art,最新式の
assimilate,同化する
refurbish,改装する
conglomerate,コングロマリット
simulate,模擬実験をする
doom,運命づける
stockpile,備蓄
inconsequential,取るに足りない
vibrant,活気に満ちた
eyewitness,目撃者
commodity,商品
notorious,悪名高い
shot,勝ち目
emigrate,移住する
cede,譲渡する
degrade,分解する
extremist,過激派
execute,実行する
long-lasting,長続きする
reside,存在する
empower,権限を与える
hallmark,特徴
squarely,真っ向から
parameter,限界
wield,行使する
epidemic,流行
perilous,危険な
predisposed,傾向にある
sovereign,主権を有する
hardscrabble,やせた
impersonal,人間味のない
beset,悩ます
trespass,侵入する
quip,当意即妙に言う
forte,得意
foolproof,絶対確実な
far-fetched,ありえない
weather,乗り切る
eerie,不気味な
pawn,手先
esoteric,難解な
despicable,卑劣な
scavenge,あさる
shroud,包む
infighting,内輪もめ
laureate,受賞者
squeak,金切り声を出す
qualm,良心の呵責
psychic,精神の
full-fledged,一人前の
reimburse,返済する
philanthropy,慈善活動
unilateral,一方的な
commonplace,ありふれた
domesticate,家畜化する
polytheistic,多神教の
concur,一致する
idiosyncratic,独特の
tenure,終身在職権
graffiti,落書き
intrusive,立ち入った
mimicry,模倣
coffer,財源
phenomenal,驚異的な
bizarre,風変わりな
ignominious,不名誉な
fraternity,兄弟関係
serene,のどかな
slouch,前かがみになる
lanky,やせてひょろっとした
reprisal,報復
desolate,荒れ果てた
perennial,いつまでも続く
bluff,はっぱりをかける
squirm,身をよじる
transpire,（事件などが）起こる
aboveboard,公正明大な
eminent,高名な
discerning,洞察力のある
labyrinth,迷宮
conciliate,なだめる
perfunctory,通り一遍の
repatriate,本国へ送還する
traverse,横切る
bridle,つんとす
queasy,吐き気がする
grapple,（問題に）取り組む
livid,激怒した
zeal,熱意
stupor,人事不省
harrowing,悲惨な
brazen,厚かましい
elucidation,解明
repel,追い払う
scamper,すばやく走る
meander,曲がりくねる
despondent,失望した
wade,歩いて渡る
inquisitive,好奇心の強い
chastise,厳しく非難する
retard,遅らせる
complexion,顔色
constellation,星座
imbue,植え付ける
primate,霊長類
reptile,は虫類
amphibian,両生類
vertebrate,脊椎動物
carnivore,肉食動物
herbivore,草食動物
rodent,げっ歯類の動物
mollusk,軟体動物
avian,鳥類の
flatworm,扁形動物
parasite,寄生生物
aquatic,水生の
ape,類人猿
canine,イヌ科の
lynx,オオヤマネコ
badger,アナグマ
mole,モグラ
otter,カワウソ
lizard,トカゲ
waterfowl,水鳥
falcon,ハヤブサ
jay,カケス
termite,シロアリ
flea,ノミ
maggot,ウジ虫
wasp,スズメバチ
cod,タラ
herring,ニシン
trout,マス
catfish,ナマズ
jellyfish,クラゲ
urchin,ウニ
crayfish,ザリガニ
cocoon,繭
larva,幼虫
venomous,毒のある
pollinate,授粉する
angiosperm,被子植物
gymnosperm,裸子植物
conifer,針葉樹
deciduous,落葉性の
photosynthesis,光合成
airborne,空気で運ばれる
dandelion,タンポポ
larch,カラマツ
fungus,菌類
algae,藻
evolution,進化
mutation,突然変異
inbreeding,近親交配
stroke,脳卒中
concussion,脳振とう
migraine,偏頭痛
measles,はしか
rubella,風疹
mumps,おたふくかぜ
asthma,喘息
tuberculosis,結核
emphysema,気腫
diabetes,糖尿病
ulcer,潰瘍
atrophy,萎縮
tumor,腫瘍
hematoma,血腫
anemic,貧血の
thyroid,甲状腺
carcinogen,発がん物質
obesity,肥満
diarrhea,下痢
ingest,摂取する
metabolism,代謝
protein,タンパク質
allergen,アレルゲン
lesion,傷
inflammation,炎症
arthritis,関節炎
pneumonia,肺炎
fracture,骨折
laceration,裂傷
graft,移植片
spasm,けいれん
cramp,ひひきつり
paralysis,まひ
symptom,症状
syndrome,症候群
complication,合併症
remedy,治療
chemotherapy,化学療法
biopsy,生検法
forceps,ピンセット
prosthesis,人工の補綴
disorder,疾患
dysfunction,機能障害
germ,病原菌
microbe,微生物
pathogen,病原体
virus,ウイルス
gene,遺伝子
cellular,細胞の
nucleus,細胞核
chromosome,染色体
acid,リボ核酸
nucleotide,ヌクレオチド
genome,ゲノム
neural,神経の
neuron,ニューロン
synapse,シナプス
receptor,受容体
regimen,計画
vaccine,ワクチン
antibody,抗体
antibiotic,抗生物質
pandemic,世界的大流行
painkiller,鎮痛剤
antidote,解毒剤
placebo,偽薬
immunization,予防接種
sedation,鎮静作用
narcotic,麻酔剤
anesthesia,麻酔
sterilize,殺菌する
comatose,昏睡状態の
amputation,切断
euthanasia,安楽死
reproductive,生殖の
fertility,受精能力
pregnancy,妊娠
infertility,不妊症
embryo,胎児
childbirth,出産
cortex,外皮
skull,頭蓋骨
scalp,頭皮
retina,網膜
cavity,空洞
cervical,首の
abdominal,腹部の
spine,脊柱
cord,脊髄
marrow,髄
membrane,膜
limb,手足
extremities,手足
skeleton,骨格
cartilage,軟骨
gristle,軟骨
blade,肩甲骨
rib,あばら骨
intestine,腸
gastrointestinal,胃腸の
coronary,心臓の
pulmonary,肺の
cardiopulmonary,心肺の
pancreas,膵臓
kidney,腎臓
womb,子宮
artery,動脈
cardiovascular,心臓血管の
saliva,唾液
digestion,消化
feces,排泄物
cognition,認識
subliminal,潜在意識の
neurotic,神経症の
paranoia,妄想症
schizophrenia,統合失調症
hysteria,ヒステリー
depressed,うつ病の
melancholy,憂うつ
autism,自閉症
insomnia,不眠症
trance,催眠状態
dementia,認知症
euphoria,多幸症
sociopath,社会病質者
regression,後退
deforestation,森林伐採
dioxide,二酸化炭素
emission,排出
ozone,オゾン
petroleum,石油
